BPM,SpO2,Temperature_C,Humidity_%,GSR,Angle_X,Angle_Y,Heat_Therapy_Duration,Sleep_Quality
106,90,36.56,21.97,295,0.57,-1.31,11.53,70.64
69,98,36.4,88.57,255,-4.17,0.83,3.73,84.6
115,98,37.18,88.63,394,9.45,7.76,15.46,49.73
75,96,35.53,46.47,439,7.14,2.66,0.0,79.52
78,96,35.75,21.79,173,4.67,4.45,3.11,73.52
57,92,35.88,70.91,44,8.67,1.95,0.85,79.63
76,99,36.06,78.17,342,-3.06,2.86,2.56,81.73
107,91,37.04,28.75,140,8.02,1.57,15.68,57.8
56,96,38.48,29.48,26,-3.5,-9.46,13.82,76.97
84,98,37.46,77.56,232,4.66,9.99,12.27,65.06
92,90,35.68,84.53,208,4.73,-9.33,5.24,61.29
56,93,37.08,75.35,49,-9.63,-2.1,6.59,78.9
118,95,36.99,34.05,60,-2.78,-7.9,18.45,49.39
114,96,35.93,48.81,242,-9.61,-8.06,10.54,46.63
75,99,38.26,62.06,268,9.94,5.87,14.12,68.89
87,96,36.82,31.22,139,-7.56,-1.48,10.62,68.43
112,99,38.48,34.74,156,0.86,6.02,23.76,58.87
76,91,36.76,39.8,84,5.81,-4.54,8.66,71.25
103,93,37.32,55.67,83,-5.97,-4.87,16.89,57.15
113,94,35.81,55.76,275,-0.3,-4.98,9.42,62.67
96,90,36.86,77.0,30,2.15,2.32,13.71,67.23
114,90,36.22,72.71,7,-6.8,6.3,14.31,47.42
69,99,38.01,83.96,279,5.57,-0.95,11.54,83.25
116,92,37.85,78.3,202,-4.01,-2.42,20.94,58.33
116,99,37.97,37.77,422,-5.78,9.47,19.34,52.14
101,92,37.67,43.19,32,1.17,-7.66,18.73,59.54
116,97,38.0,55.03,297,-1.79,-0.27,20.72,65.47
105,98,36.1,21.0,142,8.41,-1.83,10.59,58.06
109,90,36.86,83.27,451,7.6,-8.04,12.07,55.75
118,91,37.58,23.1,448,-0.33,-4.64,17.5,64.0
57,99,37.41,42.57,415,-2.81,-9.43,4.81,85.1
